Ticker,Name,Sector,Region,P/E Ratio,P/B Ratio,P/S Ratio,Revenue Growth (%),Earnings Growth (%),Profit Margin (%),Free Cash Flow,Div_2025,Momentum 6M (%),Momentum 12M (%),Value Score,Growth Score,Momentum Score,Overall AI Score
AI.PA,AIR LIQUIDE,Materials,Europe,27.46,3.69,3.58,-3.4,5.3,13.06,1524087552.0,3.7,-4.62,-4.24,3,3,4,3
5713.T,SUMITOMO METAL MINING CO,Materials,Japan,103.09,1.3,1.5,0.0,0.0,0.0,-39783501824.0,120.0,120.14,169.85,3,4,1,3
4063.T,SHIN-ETSU CHEMICAL CO,Materials,Japan,24.69,2.76,4.66,-2.1,-3.5,18.94,186461880320.0,106.0,46.16,44.16,3,4,1,3
5401.T,NIPPON STEEL CORPORATION,Materials,Japan,,0.58,0.33,20.6,-42.5,-0.6,0.0,28.0,-0.82,-4.01,2,4,4,3
JMAT.L,JOHNSON MATTHEY PLC ORD 110 49/,Materials,UK,,143.01,0.26,0.8,0.0,-1.1,-506124992.0,0.77,-8.53,26.33,3,4,3,3
WDAY,"Workday, Inc.",Technology,US,52.7,4.51,3.74,14.5,62.9,7.26,3012750080.0,0.0,-41.8,-45.5,3,2,5,3
ZM,"Zoom Communications, Inc.",Technology,US,12.4,2.31,4.66,5.3,91.5,39.03,1963544576.0,0.0,-8.97,0.84,2,2,4,3
MDB,"MongoDB, Inc.",Technology,US,,7.12,8.63,26.7,2.2,-2.89,463322496.0,0.0,-19.25,35.64,4,2,3,3
PLTR,Palantir Technologies Inc.,Technology,US,239.17,48.78,80.52,70.0,647.6,36.31,1260918400.0,0.0,-17.39,65.66,5,1,3,3
ADBE,Adobe Inc.,Technology,US,14.45,8.9,4.17,12.0,11.1,29.48,9292624896.0,0.0,-32.18,-35.92,2,2,5,3
CRM,"Salesforce, Inc.",Technology,US,25.05,3.07,4.41,12.1,17.9,17.96,16366999552.0,1.66,-20.8,-29.92,2,2,5,3
AVGO,Broadcom Inc.,Technology,US,60.65,5.24,21.56,16.4,188.1,36.57,25503750144.0,2.48,-9.65,62.98,4,1,3,3
UBER,"Uber Technologies, Inc.",Technology,US,15.62,5.65,2.95,20.1,-95.6,19.33,6346124800.0,0.0,-24.99,-2.57,2,3,5,3
017670.KS,SKTelecom,Telecom & Media,South Korea,,,0.98,-4.1,-65.3,2.39,332247236608.0,0.0,45.39,44.41,3,4,1,3
LBTYA,Liberty Global Ltd.,Telecom & Media,Europe,,0.4,0.8,9.6,0.0,-146.32,-401224992.0,0.0,-0.6,0.17,2,3,4,3
KPN.AS,KPN KON,Telecom & Media,Europe,22.31,7.09,3.09,2.7,-3.3,14.75,805875008.0,0.18,14.74,30.34,4,3,2,3
TEF.MC,"TELEFONICA,S.A.",Telecom & Media,Europe,,1.41,0.56,-26.6,0.0,-12.01,1620499968.0,0.3,-14.73,-10.9,2,4,5,3
AIXA.DE,AIXTRON SE                    N,Technology,Germany,43.54,4.1,6.71,-17.5,-9.7,15.31,165355376.0,0.15,142.06,180.44,3,4,1,3
IFX.DE,INFINEON TECHNOLOGIES AG      N,Technology,Germany,48.89,2.91,3.29,7.0,4.2,6.88,1671250048.0,0.35,14.99,10.89,3,2,3,3
MSFT,Microsoft Corporation,Technology,US,23.93,7.26,9.29,16.7,59.8,39.04,53640626176.0,3.48,-25.97,-1.66,3,2,5,3
INTC,Intel Corporation,Technology,US,,1.92,4.15,-4.1,0.0,-0.5,-4504500224.0,0.0,48.31,80.83,3,4,1,3
SN.L,SMITH & NEPHEW PLC ORD USD0.20,Healthcare,UK,22.65,257.27,1.65,7.4,70.4,10.14,876625024.0,0.39,-10.93,9.41,3,2,4,3
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,Healthcare,UK,28.48,590.65,3.67,4.1,53.9,17.41,7865375232.0,3.2,23.44,17.7,4,2,2,3
PFV.DE,PFEIFFER VACUUM TECHNOLOGY AG I,Healthcare,Germany,51.89,2.93,1.91,-7.1,-25.6,3.68,31966750.0,0.0,7.0,12.1,3,4,3,3
QCOM,QUALCOMM Incorporated,Technology,US,26.19,6.05,3.09,5.0,-1.8,11.96,10423374848.0,3.52,-21.25,-15.23,3,3,5,3
COK.DE,CANCOM SE                     I,Healthcare,Germany,38.18,1.2,0.39,0.3,-14.3,1.01,85807752.0,1.0,-12.13,-22.13,2,4,5,3
030200.KS,KT,Telecom & Media,South Korea,,,0.52,4.1,0.0,6.13,831621890048.0,0.0,19.69,25.13,3,3,2,3
AAPL,Apple Inc.,Technology,US,31.35,41.35,8.37,15.7,18.3,27.04,106312753152.0,1.03,1.21,14.11,4,2,3,3
ALC.SW,ALCON N,Healthcare,Europe,37.08,1.62,2.73,8.6,-22.2,9.42,1233750016.0,0.35,-4.87,-27.67,3,3,4,3
SAN.PA,SANOFI,Healthcare,Europe,19.3,1.32,2.0,6.9,0.0,16.72,16643375104.0,4.12,-1.85,-23.53,2,3,4,3
NOVN.SW,NOVARTIS N,Healthcare,Europe,20.42,6.03,3.89,2.2,-11.6,24.67,12115125248.0,4.67,23.18,19.38,3,3,2,3
ROG.SW,ROCHE GS,Healthcare,Europe,20.11,7.59,4.05,-0.4,171.3,20.33,11027874816.0,9.8,18.59,4.66,3,2,3,3
4536.T,SANTEN PHARMACEUTICAL CO,Healthcare,Japan,18.21,1.91,1.88,0.0,0.0,10.63,0.0,38.0,3.63,19.86,2,4,3,3
PGR,Progressive Corporation (The),Finance,US,10.72,3.98,1.38,12.2,25.2,12.9,11832375296.0,13.9,-9.56,-19.62,2,2,5,3
SCHW,Charles Schwab Corporation (The,Finance,US,20.36,3.9,7.03,18.9,41.1,37.0,0.0,1.08,0.97,22.24,5,2,3,3
